Pitch set,Yaw set,Pitch Received,Yaw Received
90.0,45.0,90.0,45.0
88.42951,45.02741,88.42952264838746,45.027412784140694
86.86096,45.10961,86.86095868151436,45.10961773830791
85.29621,45.24651,85.29621915295559,45.2465147084277
83.73721,45.43794,83.73721045679706,45.43793690662934
82.18582,45.68365,82.18583200498813,45.68365111445064
80.64396,45.98336,80.64397391320082,45.98335796697875
79.11351,46.33669,79.11351469801497,46.33669231758016
77.59631,46.74322,77.59631898823504,46.74322368277565
76.09425,47.20247,76.09423525312738,47.202456766718086
74.60909,47.71383,74.60909355034491,47.71383206463412
73.1427,48.27673,73.14270329628395,48.276726544494565
71.69685,48.89045,71.69685106158899,48.89045440608296
70.27328,49.55426,70.27329839449152,49.55426791653749
68.87378,50.26736,68.8737796746349,50.26735832134829
67.5,51.02886,67.5,51.02885682970026
66.15363,51.83783,66.15363310950579,51.83783567296083
64.83633,52.69331,64.8363193438164,52.69330923502312
63.54967,53.59423,63.54966364683871,53.594235253127366
62.29523,54.53952,62.29523361034538,54.53951608769751
61.07456,55.52799,61.07455756410573,55.52800005964599
59.88913,56.55848,59.88912271385138,56.55848285351726
58.74037,57.6297,58.740373329345125,57.629708984760704
57.6297,58.74037,57.6297089847607,58.740373329345125
56.55848,59.88913,56.558482853517255,59.889122713851386
55.528,61.07457,55.528000059646,61.074557564105724
54.53952,62.29523,54.53951608769751,62.29523361034539
53.59423,63.54966,53.59423525312737,63.5496636468387
52.69331,64.83633,52.693309235023115,64.8363193438164
51.83783,66.15363,51.83783567296083,66.15363310950578
51.02886,67.49998,51.02885682970027,67.49999999999997
50.26736,68.87378,50.26735832134828,68.87377967463492
49.55426,70.27328,49.55426791653749,70.2732983944915
48.89045,71.69685,48.89045440608296,71.696851061589
48.27673,73.1427,48.27672654449457,73.14270329628394
47.71383,74.60909,47.71383206463412,74.60909355034491
47.20246,76.09425,47.20245676671809,76.09423525312737
46.74322,77.59631,46.74322368277564,77.59631898823505
46.33669,79.11351,46.33669231758016,79.11351469801495
45.98336,80.64396,45.98335796697875,80.64397391320081
45.68365,82.18582,45.68365111445064,82.18583200498813
45.43794,83.73721,45.43793690662934,83.73721045679704
45.24651,85.29621,45.246514708427696,85.2962191529556
45.10961,86.86096,45.10961773830791,86.86095868151435
45.02741,88.42951,45.027412784140694,88.42952264838746
45.0,90.0,45.0,89.99999999999999
45.02741,91.57048,45.027412784140694,91.57047735161255
45.10961,93.13904,45.109617738307904,93.13904131848564
45.24651,94.70377,45.246514708427696,94.70378084704438
45.43794,96.26279,45.43793690662933,96.26278954320294
45.68365,97.81417,45.68365111445063,97.81416799501184
45.98336,99.35603,45.98335796697875,99.35602608679918
46.33669,100.8865,46.33669231758015,100.88648530198503
46.74322,102.4037,46.74322368277566,102.40368101176497
47.20247,103.9058,47.202456766718086,103.90576474687262
47.71383,105.3909,47.713832064634126,105.3909064496551
48.27673,106.8573,48.276726544494565,106.85729670371603
48.89045,108.3031,48.89045440608295,108.30314893841098
49.55426,109.7267,49.55426791653748,109.72670160550848
50.26736,111.1262,50.26735832134828,111.12622032536507
51.02886,112.5,51.02885682970026,112.5
51.83783,113.8464,51.83783567296083,113.84636689049421
52.69331,115.1637,52.69330923502313,115.16368065618362
53.59423,116.4503,53.59423525312736,116.45033635316128
54.53952,117.7048,54.53951608769752,117.70476638965464
55.52799,118.9254,55.52800005964598,118.92544243589427
56.55848,120.1109,56.55848285351724,120.1108772861486
57.6297,121.2596,57.629708984760704,121.25962667065488
58.74037,122.3703,58.740373329345104,122.37029101523929
59.88913,123.4415,59.889122713851386,123.44151714648274
61.07456,124.472,61.07455756410572,124.47199994035401
62.29523,125.4605,62.29523361034538,125.4604839123025
63.54967,126.4057,63.549663646838695,126.40576474687262
64.83633,127.3067,64.8363193438164,127.30669076497688
66.15363,128.1622,66.15363310950578,128.16216432703916
67.49998,128.9712,67.49999999999997,128.97114317029974
68.87378,129.7326,68.87377967463492,129.7326416786517
70.27328,130.4457,70.27329839449149,130.4457320834625
71.69685,131.1095,71.696851061589,131.10954559391703
73.1427,131.7233,73.14270329628394,131.72327345550542
74.60909,132.2862,74.60909355034491,132.28616793536588
76.09425,132.7975,76.09423525312735,132.7975432332819
77.59631,133.2568,77.59631898823505,133.25677631722436
79.11351,133.6633,79.11351469801494,133.66330768241983
80.64396,134.0166,80.64397391320081,134.01664203302124
82.18582,134.3163,82.18583200498813,134.31634888554936
83.73721,134.5621,83.73721045679703,134.56206309337065
85.29621,134.7535,85.2962191529556,134.7534852915723
86.86096,134.8904,86.86095868151435,134.89038226169208
88.42951,134.9726,88.42952264838746,134.9725872158593
